33,1,40,40,1,1,1,A,41,<lshift>,A,801,1,2
33,1,40,40,1,1,2,B,62,<rshift>,B,677,1,2
33,1,40,40,1,1,3,A,45,<lshift>,A,808,1,2
33,1,40,40,1,1,4,B,53,<rshift>,B,615,1,2
33,1,40,40,1,1,5,A,49,<rshift>,B,521,0,-2
33,1,40,40,1,1,6,A,52,<rshift>,B,421,0,-2
33,1,40,40,1,1,7,A,35,<lshift>,A,514,1,2
33,1,40,40,1,1,8,A,42,<lshift>,A,1283,1,2
33,1,40,40,1,1,9,B,50,<lshift>,A,560,0,-2
33,1,40,40,1,1,10,B,44,<lshift>,A,577,0,-2
33,1,40,40,1,1,11,B,56,<lshift>,A,1074,0,-2
33,1,40,40,1,1,12,B,52,<rshift>,B,502,1,2
33,1,40,40,1,1,13,A,52,<rshift>,B,599,0,-2
33,1,40,40,1,1,14,