function_name,function_type,library,namespace,parameters,in_reference,in_source,status,Action,sphinx_implemented
Randombernoulli,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Randombinomial,COMPILED,,PEBLMath,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Randomdiscrete,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (stub)
Randomexponential,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Randomizetimer,COMPILED,,PEBLMath,0 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Randomlogistic,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Randomlognormal,COMPILED,,PEBLMath,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Randomnormal,COMPILED,,PEBLMath,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Randomuniform,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Rank,PEBL_FUNCTION,Math.pbl,,list,YES,NO,PEBL_DOCUMENTED,COMPLETE,math.rst (full)
Readcsv,PEBL_FUNCTION,Utility.pbl,,filename,YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Readjsonparameters,PEBL_FUNCTION,Utility.pbl,,filename,NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (stub)
Readtranslation,PEBL_FUNCTION,Utility.pbl,,"filename, lang",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (full)
Readtranslationjson,PEBL_FUNCTION,Utility.pbl,,"filename, lang",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (full)
Rectangle,COMPILED,,PEBLObjects,6 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Recurse,,,,,NO,YES,SOURCE_UNDOCUMENTED,HIDDEN,hidden
Recurse2,,,,,NO,YES,SOURCE_UNDOCUMENTED,HIDDEN,hidden
Reflectpoints,PEBL_FUNCTION,Graphics.pbl,,pts,YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Registerevent,COMPILED,,PEBLEnvironment,5-6 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Remove,COMPILED,,PEBLList,2 args,NO,YES,COMPILED_UNDOCUMENTED,NOT_IMPLEMENTED,pebllist.rst (stub)
Removeduplicates,COMPILED,,PEBLList,1 args,NO,YES,COMPILED_UNDOCUMENTED,NOT_IMPLEMENTED,pebllist.rst (stub)
Removemenuitem,PEBL_FUNCTION,UI.pbl,,"obj, parent",YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Removeobject,COMPILED,,PEBLObjects,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Removeobjects,PEBL_FUNCTION,Utility.pbl,,"list, win",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (stub)
Removeobjectx,PEBL_FUNCTION,Graphics.pbl,,"obj, win",NO,NO,PEBL_UNDOCUMENTED,HIDDEN,hidden
Removesubset,PEBL_FUNCTION,Design.pbl,,"list, items",YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Repeat,COMPILED,,PEBLList,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Repeatexpression,,,,,NO,YES,SOURCE_UNDOCUMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED
Repeatlist,COMPILED,,PEBLList,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Replace,PEBL_FUNCTION,Design.pbl,,"template, replacementList",YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Replacechar,PEBL_FUNCTION,Utility.pbl,,"word, char, char2",YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Resetcanvas,PEBL_FUNCTION,Graphics.pbl,,canvas,YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Resizewindow,COMPILED,,PEBLObjects,3 args,NO,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Rest,PEBL_FUNCTION,Design.pbl,,list,YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Reverse,PEBL_FUNCTION,Design.pbl,,list,NO,NO,PEBL_UNDOCUMENTED,COMPLETE,design.rst (full)
Rgbtohsv,PEBL_FUNCTION,Graphics.pbl,,a,YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Rotate,COMPILED,,PEBLList,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Rotatepoints,PEBL_FUNCTION,Graphics.pbl,,"pts, theta",YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Rotozoom,COMPILED,,PEBLObjects,5 args,NO,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Round,COMPILED,,PEBLMath,1-2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Sample,PEBL_FUNCTION,Design.pbl,,list,YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Samplen,PEBL_FUNCTION,Design.pbl,,"list, number",YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Samplenwithreplacement,PEBL_FUNCTION,Design.pbl,,"list, number",YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Saveaudiotowavefile,COMPILED,,PEBLObjects,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Sdtbeta,PEBL_FUNCTION,Math.pbl,,"hr, far, trunc:.001",YES,NO,PEBL_DOCUMENTED,COMPLETE,math.rst (full)
Sdtdprime,PEBL_FUNCTION,Math.pbl,,"hr, far, trunc:.001",YES,NO,PEBL_DOCUMENTED,COMPLETE,math.rst (full)
Second,COMPILED,,PEBLList,1 args,NO,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Seedrng,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Segmentsintersect,PEBL_FUNCTION,Graphics.pbl,,"x1, y1, x2, y2, a1, b1, a2, b2",YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Selectpulldownbytext,PEBL_FUNCTION,UI.pbl,,"pulldown, text",YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Senddata,COMPILED,,PEBLStream,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Sequence,COMPILED,,PEBLList,3 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Setcheckbox,PEBL_FUNCTION,UI.pbl,,"cb, state",YES,NO,OBSOLETE_OR_MISSING,COMPLETE,
Setcursorposition,COMPILED,,PEBLObjects,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Seteditable,COMPILED,,PEBLObjects,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Setelement,COMPILED,,PEBLList,3 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Seteyetrackerhandler,COMPILED,,PEBLObjects,2 args,NO,YES,COMPILED_UNDOCUMENTED,DEPRECATED,DEPRECATED
Setfont,COMPILED,,PEBLObjects,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Setmousecursorposition,COMPILED,,PEBLEnvironment,2 args,YES,NO,OBSOLETE_OR_MISSING,COMPLETE,peblenvironment.rst (stub)
Setnetworkport,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Setpanning,COMPILED,,PEBLObjects,3 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Setpixel,COMPILED,,PEBLObjects,4 args,YES,NO,OBSOLETE_OR_MISSING,DEPRECATEDâ€”broken,DEPRECATED
Setplayrepeats,COMPILED,,PEBLObjects,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Setpoint,COMPILED,,PEBLObjects,4 args,NO,YES,COMPILED_UNDOCUMENTED,DEPRECATED-broken,DEPRECATED
Setpportmode,COMPILED,,PEBLStream,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Setpportstate,COMPILED,,PEBLStream,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Setproperty,COMPILED,,PEBLObjects,3 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Setscrollingtext,PEBL_FUNCTION,UI.pbl,,"obj, text, linewrap:0",YES,NO,PEBL_DOCUMENTED,COMPLETE,ui.rst (full)
Settext,COMPILED,,PEBLObjects,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Settextboxcursorfromclick,PEBL_FUNCTION,UI.pbl,,"box, exit, click",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Settextentry,PEBL_FUNCTION,UI.pbl,,"obj, value",YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Setworkingdirectory,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Show,COMPILED,,PEBLObjects,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Showbutton,PEBL_FUNCTION,UI.pbl,,button,YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Showcursor,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Showmenu,PEBL_FUNCTION,UI.pbl,,"obj, xy",YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Showobject,PEBL_FUNCTION,Graphics.pbl,,obj,NO,NO,PEBL_UNDOCUMENTED,COMPLETE,graphics.rst (full)
Shuffle,COMPILED,,PEBLList,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Shufflerepeat,PEBL_FUNCTION,Design.pbl,,"list, n",YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Shufflewithoutadjacents,PEBL_FUNCTION,Design.pbl,,"list, tries:1",YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Shufflewithoutadjacentsonce,PEBL_FUNCTION,Design.pbl,,list,NO,NO,PEBL_UNDOCUMENTED,HIDDEN,design.rst (hidden)
Sign,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Signalfatalerror,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Sin,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Sort,COMPILED,,PEBLList,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Sortby,COMPILED,,PEBLList,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (stub)
Sortdir,PEBL_FUNCTION,UI.pbl,,"inlist, path",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Splitstring,COMPILED,,PEBLString,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstring.rst (full)
Splitstringslow,PEBL_FUNCTION,Utility.pbl,,"string, split",YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Sqrt,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Square,COMPILED,,PEBLObjects,5 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Starteventloop,COMPILED,,PEBLEnvironment,0 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Startplayback,COMPILED,,PEBLObjects,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Stddev,PEBL_FUNCTION,Math.pbl,,list,NO,NO,PEBL_DOCUMENTED,COMPLETE,math.rst (full)
Stdev,COMPILED,,PEBLMath,1 args,YES,NO,OBSOLETE_OR_MISSING,NOT_IMPLEMENTED,peblmath.rst (investigate)
Stop,COMPILED,,PEBLObjects,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Stringlength,COMPILED,,PEBLString,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstring.rst (full)
Strip,,,,,NO,YES,SOURCE_UNDOCUMENTED,NOT_AVAILABLE,Exists in PEBLString.cpp but in #if 0 block (consider implementing)
Stripquotes,PEBL_FUNCTION,Utility.pbl,,text,YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Stripspace,PEBL_FUNCTION,Utility.pbl,,text,YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Sublist,COMPILED,,PEBLList,3 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Subset,PEBL_FUNCTION,Design.pbl,,"list, items",YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Substitutestrings,PEBL_FUNCTION,Utility.pbl,,"text, replist",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (full)
Substring,COMPILED,,PEBLString,3 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstring.rst (full)
Sum,PEBL_FUNCTION,Math.pbl,,list,YES,NO,PEBL_DOCUMENTED,COMPLETE,math.rst (full)
Summarystats,PEBL_FUNCTION,Math.pbl,,"data, cond",YES,NO,PEBL_DOCUMENTED,COMPLETE,math.rst (full)
Syncdatafile,PEBL_FUNCTION,Utility.pbl,,"server, page, port, username, pword, taskname, subcode, datafilename, token:""""",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (full)
Systemcall,COMPILED,,PEBLEnvironment,1-2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Systemcallupdate,COMPILED,,PEBLEnvironment,1-2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Tab,PEBL_FUNCTION,Utility.pbl,,n:1,YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Table,PEBL_FUNCTION,HTML.pbl,,"tab, header:""""",YES,NO,PEBL_DOCUMENTED,COMPLETE,html.rst (stub)
Tan,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Thickline,COMPILED,,PEBLObjects,6 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Thickline2,PEBL_FUNCTION,Graphics.pbl,,"x1, y1, x2, y2, size, color",NO,NO,PEBL_UNDOCUMENTED,INVESTIGATE,graphics.rst (investigate)
Third,COMPILED,,PEBLList,1 args,NO,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Timestamp,COMPILED,,PEBLEnvironment,0 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Toascii,COMPILED,,PEBLString,1 args,NO,YES,COMPILED_DOCUMENTED,COMPLETE,peblstring.rst (full)
Tofloat,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Toint,,,,,NO,YES,SOURCE_UNDOCUMENTED,INVESTIGATE,
Tointeger,COMPILED,,PEBLMath,1 args,YES,NO,OBSOLETE_OR_MISSING,COMPLETE,peblmath.rst (stub)
Token,COMPILED,,PEBLString,1 args,NO,NO,COMPILED_UNDOCUMENTED,INVESTIGATE,peblstring.rst (investigate)
Tonumber,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Toright,PEBL_FUNCTION,Graphics.pbl,,"p1, p2, p3",YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Tostring,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Translatekeycode,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Translatestring,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Transpose,COMPILED,,PEBLList,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Updatecapturedscrollboxthumb,PEBL_FUNCTION,UI.pbl,,"obj, p, event:0",YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Updatepulldown,PEBL_FUNCTION,UI.pbl,,"obj, newlist",YES,NO,PEBL_DOCUMENTED,COMPLETE,ui.rst (full)
Updatescrollbox,PEBL_FUNCTION,UI.pbl,,obj,YES,NO,PEBL_DOCUMENTED,COMPLETE,ui.rst (full)
Updatescrollingtextbox,PEBL_FUNCTION,UI.pbl,,obj,YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Uploadfile,PEBL_FUNCTION,Utility.pbl,,"subcode, datafilename, settings:""""",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (full)
Uppercase,COMPILED,,PEBLString,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstring.rst (full)
Validateattneaveshape,PEBL_FUNCTION,Graphics.pbl,,"shape, minAngle, maxAngle",NO,NO,PEBL_UNDOCUMENTED,HIDDEN,graphics.rst (hidden)
Variableexists,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Vecplus,PEBL_FUNCTION,UI.pbl,,"vec, add",NO,NO,PEBL_UNDOCUMENTED,,
Vecsum,PEBL_FUNCTION,Math.pbl,,"a, b",YES,NO,PEBL_DOCUMENTED,COMPLETE,math.rst (full)
Vectimes,PEBL_FUNCTION,Math.pbl,,"a, b",YES,NO,PEBL_DOCUMENTED,COMPLETE,math.rst (full)
Wait,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Waitforallkeysup,COMPILED,,PEBLEnvironment,0 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Waitforanykeydown,COMPILED,,PEBLEnvironment,0 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Waitforanykeydownwithtimeout,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Waitforanykeypress,COMPILED,,PEBLEnvironment,0 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Waitforanykeypresswithtimeout,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Waitforbuttonclickontarget,PEBL_FUNCTION,Utility.pbl,,"targetlist, keylist",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (stub)
Waitforclickontarget,PEBL_FUNCTION,Utility.pbl,,"targetlist, keylist",YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Waitforclickontargetwithtimeout,PEBL_FUNCTION,Utility.pbl,,"targetlist, keylist, time, button1:1, button2:0, button3:0",YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Waitfordownclick,PEBL_FUNCTION,Utility.pbl,,,YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Waitforkeydown,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Waitforkeylistdown,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Waitforkeypress,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Waitforkeyrelease,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Waitforkeyup,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Waitforlistkeypress,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Waitforlistkeypresswithtimeout,COMPILED,,PEBLEnvironment,2-3 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Waitformousebutton,COMPILED,,PEBLEnvironment,0-1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Waitformousebuttonwithtimeout,COMPILED,,PEBLEnvironment,1-2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Waitfornetworkconnection,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Waitforpportdata,,,,,NO,YES,SOURCE_UNDOCUMENTED,NOT_AVAILABLE,Exists in PEBLStream.cpp but in #if 0 block
Waitforpportstatus,,,,,NO,YES,SOURCE_UNDOCUMENTED,NOT_AVAILABLE,Exists in PEBLStream.cpp but in #if 0 block
Writepng,COMPILED,,PEBLStream,3 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Yesnotrial,PEBL_FUNCTION,Utility.pbl,,text,NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (stub)
Zeropad,PEBL_FUNCTION,Utility.pbl,,"num, size",YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Zoompoints,PEBL_FUNCTION,Graphics.pbl,,"pts, xZoom, yZoom",YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
